SYMBOL,log2fc
LCK,0.867830656
FASLG,0.826926624
SIT1,0.803906418
CD40LG,0.798734796
CD6,0.798611488
CCR2,0.792816985
CD3E,0.764399405
RIPK3,0.752403243
CD7,0.752400601
CST7,0.749564416
TLR8,0.747658064
CD80,0.738858035
TBC1D10C,0.736919791
CD300LF,0.734216357
SPN,0.728215793
ITGB7,0.728148162
CD300LB,0.723895302
TNFSF14,0.721767827
CD3G,0.721483059
PTGER4,0.721292744
CTSW,0.707460922
TRAT1,0.702965636
PRF1,0.699403352
MYO1F,0.694551167
PDCD1,0.688257152
CD3D,0.682697492
ITGAL,0.676645952
ZAP70,0.672477542
LTB,0.672430355
NOD2,0.663629671
HLA-DOB,0.659957978
ACPP,0.657504794
CLEC10A,0.656045565
CD226,0.648462794
GPR84,0.647401935
IL2RG,0.6460466
IL10,0.641470945
NLRC4,0.64006745
GZMH,0.638297564
MYO1G,0.63313197
APOBEC3D,0.632562605
CD48,0.632430615
GZMA,0.631876572
IL16,0.627763755
STX11,0.624618169
CCL5,0.620985385
GCH1,0.620703571
GPR65,0.620415252
APOBEC3F,0.616521019
CD69,0.613732522
