SYMBOL,log2fc
BTK,0.942784147
SASH3,0.931795834
SAMSN1,0.92052947
LY86,0.912935826
RIPK3,0.90630936
CD86,0.90590466
TREM2,0.892516489
LAT2,0.89141293
TNFAIP8L2,0.889020785
C3AR1,0.888249588
CD300LF,0.887075641
FCER1G,0.878434639
CD33,0.877338046
PTPN6,0.874894335
FCGR1A,0.874656103
NCKAP1L,0.873061252
GPR65,0.869476138
HLA-DMB,0.869012716
CTSS,0.868565246
MNDA,0.867732639
AIF1,0.865832741
PIK3AP1,0.864748877
IL18,0.863981244
DAPP1,0.86040591
HCK,0.858177732
TYROBP,0.856126561
LST1,0.854306834
CD37,0.85285533
NLRC4,0.849441237
TLR7,0.84566669
VAMP8,0.845163007
C1QC,0.843656683
C1QB,0.842390318
FCGR1B,0.842040105
IRF8,0.838725419
TNFSF8,0.834079009
CD4,0.833774212
LAIR1,0.833738054
RNASET2,0.832330691
CORO1A,0.831970295
TLR2,0.830141684
LILRA2,0.829900801
LGALS9,0.828272116
APBB1IP,0.825679602
IRF5,0.824000671
WAS,0.821630543
CD69,0.821379369
CD300C,0.820239451
PYCARD,0.820194416
PTPRC,0.819293152
